domain,checked_url,final_url,http_status,fetch_error,shopify_detected,shopify_confidence,shopify_signals,checked_at
ubvapo.com,https://ubvapo.com,https://ubvapo.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.494608+00:00
vac-collection.com,https://vac-collection.com,https://vac-collection.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.516444+00:00
vani-t.lt,https://vani-t.lt,https://vani-t.lt,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.535111+00:00
vena.com.tr,https://vena.com.tr,https://vena.com.tr,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.561251+00:00
vitalfungi.cl,https://vitalfungi.cl,https://vitalfungi.cl,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.563310+00:00
vividinkdesigns.net,https://vividinkdesigns.net,https://vividinkdesigns.net,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.597752+00:00
wildtrak.com.au,https://www.wildtrak.com.au/,https://www.wildtrak.com.au/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.587454+00:00
yourgamescout.com,https://yourgamescout.com,https://yourgamescout.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.597381+00:00
zapcart.eu,https://www.zapcart.eu,https://www.zapcart.eu,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.665974+00:00
100percentpure.com,https://100percentpure.com,https://100percentpure.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.693590+00:00
11honore.com,https://11honore.com,https://www.eloquii.com/c/11Honore.html,200,,0,none,,2026-03-16T14:32:20.796948+00:00
12parsecsdesigns.com,https://www.12parsecsdesigns.com,https://www.12parsecsdesigns.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.798645+00:00
1999beauty.com,https://1999beauty.com/,https://1999beauty.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.810014+00:00
19no5.se,https://www.19no5.se,https://www.19no5.se,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.816663+00:00
23andme.com,https://www.23andme.com/,https://www.23andme.com/en-int/,200,,0,none,,2026-03-16T14:32:20.824013+00:00
2modern.com,https://2modern.com,https://2modern.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.835244+00:00
32degrees.com,https://32degrees.com,https://32degrees.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.883543+00:00
